"station_id","longitude","latitude","numtrips.start","numtrips.stop","netflow","use","zip","adi_state_rank","adi_national_rank","food_min_dist","food_500","bus_min_dist","bus_500"
"ch270",-87.586883,41.75867,157,165,8,322,60649,5.21428571428571,60.7142857142857,24.2815390492327,22,2874.97193298463,0
"ch271",-87.606582,41.816499,497,539,42,1036,60637,5.5,63.375,25.2755581876162,28,1033.54465849856,0
"ch272",-87.621857,41.838842,2703,2778,75,5481,60616,5.82352941176471,67.1764705882353,71.0516671835323,5,861.402825984987,0
"ch273",-87.62455,41.857813,9139,9515,376,18654,60605,5.61111111111111,64.7222222222222,43.5265771147904,42,543.99906462893,0
"ch274",-87.656625,41.861267,2131,2267,136,4398,606,5.76190476190476,64.1904761904762,361.224379938793,46,1104.64551921064,0
"ch275",-87.666507,41.865234,1492,1705,213,3197,60608,5.33333333333333,62.3333333333333,5.92228461411686,23,745.169484315197,0
"ch276",-87.6972,41.91044,3280,3151,-129,6431,60647,5.1875,60.125,96.9656769201657,18,1033.98150988775,0
"ch277",-87.666611,41.891072,4091,4037,-54,8128,60622,6.125,69.9375,26.9624696084675,43,645.230149149715,0
"ch278",-87.64129,41.830629,1526,1431,-95,2957,60616,5.82352941176471,67.1764705882353,185.793462965247,26,887.223559632265,0
"ch279",-87.647172,41.830661,1295,1381,86,2676,60616,5.82352941176471,67.1764705882353,35.4689403920358,38,1374.90162614967,0
"ch28",-87.64332,41.91468,5839,5415,-424,11254,60614,5.82352941176471,67.2352941176471,370.827115010215,36,579.79726177254,0
"ch280",-87.65114,41.8378,2334,2253,-81,4587,60616,5.82352941176471,67.1764705882353,20.0448239997211,36,1188.26317960405,0
"ch281",-87.685109,41.84847,474,430,-44,904,60608,5.33333333333333,62.3333333333333,52.632476501802,46,639.212297657574,0
"ch282",-87.647071,41.864883,6959,6873,-86,13832,60616,5.82352941176471,67.1764705882353,10.2099884443769,49,1196.5326738606,0
"ch283",-87.631985,41.87817,23456,22333,-1123,45789,60602,5.94736842105263,68.2105263157895,17.2684369284428,549,158.098702455679,14
"ch284",-87.62408,41.87785,18584,18892,308,37476,60601,5.94736842105263,68.2105263157895,35.046063445401,313,245.481715092721,10
"ch285",-87.67203,41.89113,4367,4489,122,8856,60612,5.82352941176471,67.1176470588235,13.4301764333245,24,774.738304574372,0
"ch286",-87.634793,41.878724,17347,17770,423,35117,60602,5.94736842105263,68.2105263157895,40.3904560313073,505,87.4073803029428,8
"ch287",-87.635185,41.880317,26862,27119,257,53981,60602,5.94736842105263,68.2105263157895,39.6056226170367,633,213.851473971656,6
"ch288",-87.643749,41.918084,6996,6569,-427,13565,60614,5.82352941176471,67.2352941176471,177.064985952243,71,738.049031956315,0
"ch289",-87.634656,41.912133,22481,21856,-625,44337,60610,5.625,63.9375,43.4233887143689,146,430.402123221721,2
"ch29",-87.6626,41.90068,8358,8144,-214,16502,60622,6.125,69.9375,31.2471200976815,56,439.077063248596,2
"ch290",-87.707322,41.921525,4079,3879,-200,7958,60625,5.25,62,389.031578950864,45,866.578353480546,0
"ch291",-87.63483,41.906724,13835,13041,-794,26876,60611,5.82352941176471,67.2352941176471,23.9495219552339,150,552.444442516146,0
"ch292",-87.664199,41.957081,2766,2510,-256,5276,60613,5.82352941176471,67.1176470588235,283.996874417216,23,851.779206727176,0
"ch293",-87.657238,41.965485,4705,4955,250,9660,60613,5.82352941176471,67.1176470588235,35.4537190232347,123,137.71106610702,6
"ch294",-87.659753,41.978353,5993,6054,61,12047,60626,5.25,62,29.2358119695121,53,98.8237415631928,2
"ch295",-87.659637,41.972972,4557,4683,126,9240,60626,5.25,62,1.2126342640329,107,106.175230690401,4
"ch296",-87.645451,41.940106,10695,12173,1478,22868,60657,5.35714285714286,63,65.5464151339349,247,658.722379133306,0
"ch297",-87.671387,41.961507,2586,2209,-377,4795,60613,5.82352941176471,67.1176470588235,52.4723610074367,60,304.67377458206,2
"ch298",-87.679259,41.955927,5026,5324,298,10350,60625,5.25,62,71.9198109312888,108,396.134695980064,2
"ch299",-87.64895,41.94367,10600,10708,108,21308,60657,5.35714285714286,63,17.5846093932525,238,569.591927882598,0
"ch3",-87.615355,41.867226,28186,27358,-828,55544,60605,5.61111111111111,64.7222222222222,316.405241713563,10,932.971367551921,0
"ch30",-87.6677,41.899643,5170,4427,-743,9597,60622,6.125,69.9375,42.2359870675561,116,424.228675195003,2
"ch300",-87.644095,41.937725,13263,13816,553,27079,60614,5.82352941176471,67.2352941176471,31.4159219075741,220,783.449524288222,0
"ch301",-87.631501,41.907993,13671,11734,-1937,25405,60611,5.82352941176471,67.2352941176471,134.465085513483,170,700.661501822419,0
"ch302",-87.653833,41.928712,9000,8380,-620,17380,60614,5.82352941176471,67.2352941176471,17.0928921285482,126,414.469135069966,6
"ch303",-87.64598,41.945512,11882,11874,-8,23756,60657,5.35714285714286,63,18.9425744801658,115,668.771687526209,0
"ch304",-87.648674,41.949546,10140,10356,216,20496,60657,5.35714285714286,63,27.1462676160686,90,473.224856064856,2
"ch305",-87.687275,41.902893,5021,5023,2,10044,60622,6.125,69.9375,79.5638205434179,37,1115.95663903021,0
"ch306",-87.654966,41.958494,5953,5782,-171,11735,60613,5.82352941176471,67.1176470588235,120.042384977695,50,524.159782449553,0
"ch307",-87.663712,41.920771,6584,7348,764,13932,60642,5.82352941176471,67.1176470588235,52.4016692520909,68,960.971867943911,0
"ch308",-87.679618,41.943403,3875,4017,142,7892,60618,5.4,63.3333333333333,13.2249946925777,66,576.515984428729,0
"ch309",-87.682437,41.917805,4525,4290,-235,8815,60647,5.1875,60.125,33.3569011133469,108,447.851407749005,2
"ch31",-87.635638,41.896802,15124,14965,-159,30089,60611,5.82352941176471,67.2352941176471,14.0653840357379,213,619.401836547551,0
"ch310",-87.677855,41.920082,4274,4271,-3,8545,60647,5.1875,60.125,0.734733550160478,58,901.289017599257,0
"ch311",-87.684001,41.968885,3010,2840,-170,5850,60625,5.25,62,13.3109385905125,120,480.222408396249,2
"ch312",-87.649519,41.957879,8010,7815,-195,15825,60640,5.26666666666667,61.2666666666667,12.9544879101102,51,639.509669228319,0
"ch313",-87.638973,41.925858,14632,14711,79,29343,60614,5.82352941176471,67.2352941176471,43.2183052226111,114,1155.86881456921,0
"ch314",-87.673567,41.957921,3370,3187,-183,6557,60618,5.4,63.3333333333333,57.8245378185388,54,392.748098108071,4
"ch315",-87.664169,41.912919,2878,2858,-20,5736,60642,5.82352941176471,67.1176470588235,90.0562791027646,22,1079.69057926822,0
"ch316",-87.679258,41.96325,3446,3454,8,6900,60618,5.4,63.3333333333333,154.790543154368,87,341.098112577667,4
"ch317",-87.671045,41.869154,5380,5699,319,11079,60607,5.33333333333333,62.2777777777778,244.143844371718,14,294.450134339206,2
"ch318",-87.664358,41.954177,5957,5625,-332,11582,60613,5.82352941176471,67.1176470588235,24.730860198477,61,783.036605269509,0
